Date,y
2018-09-28,185.7899932861328
2018-10-01,186.1699981689453
2018-10-02,185.75
2018-10-03,185.9499969482422
2018-10-04,182.3800048828125
2018-10-05,180.14999389648438
2018-10-08,179.0500030517578
2018-10-09,179.6300048828125
2018-10-10,171.72999572753906
2018-10-11,169.60000610351562
2018-10-12,174.32000732421875
2018-10-15,172.2100067138672
2018-10-16,177.22000122070312
2018-10-17,177.2899932861328
2018-10-18,173.17999267578125
2018-10-19,173.02000427246094
2018-10-22,173.91000366210938
2018-10-23,173.27000427246094
2018-10-24,165.33999633789062
2018-10-25,171.05999755859375
2018-10-26,166.66000366210938
2018-10-29,163.22999572753906
2018-10-30,165.9199981689453
2018-10-31,169.82000732421875
2018-11-01,172.05999755859375
2018-11-02,169.3800048828125
2018-11-05,168.9600067138672
